"start","stop","duration","mission(s)","instrument(s)","region","D","R","Conf","NConf"
"2020-07-23T12:00:00","2020-07-23T12:00:00","0:00:00","SolarOrbiter","PAS","Heliosphere.Inner","48","1","68.0","0.9993"
"2020-07-23T21:02:24","2020-07-23T21:02:40","0:00:16","PSP","","Sun","8791","1","74723.0","0.2542"
"2020-07-23T21:02:24","2020-07-23T21:02:40","0:00:16","PSP","","Sun","8791","1","74723.0","0.2542"
"2020-07-23T21:02:00","2020-07-23T21:02:24","0:00:24","PSP","","Sun","8729","1","74196.0","0.2594"
"2020-07-23T21:02:00","2020-07-23T21:02:24","0:00:24","PSP","","Sun","8729","1","74196.0","0.2594"
"2020-07-23T21:02:00","2020-07-23T21:02:40","0:00:40","PSP","","Sun","6384","1","54264.0","0.4584"
"2020-07-23T21:02:00","2020-07-23T21:02:40","0:00:40","PSP","","Sun","6384","1","54264.0","0.4584"
"2021-02-23T17:42:00","2021-02-23T17:42:59","0:00:59","SDO","HMI,AIA","Earth.Magnetosphere","83","1","332.0","0.9967"
"2020-07-23T18:00:00","2020-07-23T18:00:59","0:00:59","SolarOrbiter","PAS","Heliosphere.Inner","569","1","806.0","0.9920"
"2020-07-23T20:38:00","2020-07-23T20:38:59","0:00:59","PSP","","Sun","3273","1","27820.0","0.7223"
"2020-07-23T20:38:00","2020-07-23T20:38:59","0:00:59","SolarOrbiter","PAS","Heliosphere.Inner","1359","1","1925.0","0.9808"
"2020-07-23T21:29:00","2020-07-23T21:29:59","0:00:59","PSP","","Sun","3365","1","28602.0","0.7145"
"2020-07-23T21:29:00","2020-07-23T21:29:59","0:00:59","SolarOrbiter","PAS","Heliosphere.Inner","1401","1","1984.0","0.9802"
"2020-07-23T12:00:00","2020-07-24T12:00:59","0:00:59","SolarOrbiter","PAS","Heliosphere.Inner","48","1","68.0","0.9993"
"2020-07-23T18:00:00","2020-07-23T18:00:59","0:00:59","SolarOrbiter","PAS","Heliosphere.Inner","569","1","806.0","0.9920"
"2020-07-23T20:38:00","2020-07-23T20:38:59","0:00:59","PSP","","Sun","3273","1","27820.0","0.7223"
"2020-07-23T20:38:00","2020-07-23T20:38:59","0:00:59","SolarOrbiter","PAS","Heliosphere.Inner","1359","1","1925.0","0.9808"
"2020-07-23T21:29:00","2020-07-23T21:29:59","0:00:59","PSP","","Sun","3365","1","28602.0","0.7145"
"2020-07-23T21:29:00","2020-07-23T21:29:59","0:00:59","SolarOrbiter","PAS","Heliosphere.Inner","1401","1","1984.0","0.9802"
"2021-09-14T03:29:00","2021-09-14T03:29:59","0:00:59","SolarOrbiter","EUI","Heliosphere.Inner","1661","1","2214.0","0.9779"
"2021-09-14T03:58:00","2021-09-14T03:58:59","0:00:59","SolarOrbiter","EUI","Heliosphere.Inner","7887","1","10516.0","0.8950"
"2021-09-14T04:26:00","2021-09-14T04:26:59","0:00:59","SolarOrbiter","EUI","Heliosphere.Inner","1747","1","2329.0","0.9768"
"2021-09-14T03:28:16","2021-09-14T03:29:28","0:01:12","SolarOrbiter","EUI","Heliosphere.Inner","19383","1","25844.0","0.7420"
"2021-02-23T16:55:15","2021-02-23T16:58:55","0:03:40","SolarOrbiter","EUI,EUI/HRI,SPICE","Heliosphere.Inner","1321","1","1761.0","0.9824"
"2021-02-23T17:13:25","2021-02-23T17:20:59","0:07:34","SolarOrbiter","EUI,EUI/HRI,SPICE","Heliosphere.Inner","1389","1","1852.0","0.9815"
"2021-02-23T16:59:08","2021-02-23T17:16:45","0:17:37","SolarOrbiter","EUI,EUI/HRI,SPICE","Heliosphere.Inner","1579","1","2105.0","0.9790"
"2021-09-14T04:11:00","2021-09-14T04:30:00","0:19:00","SolarOrbiter","EUI","Heliosphere.Inner","198","1","264.0","0.9974"
"2020-07-23T20:35:00","2020-07-23T21:20:00","0:45:00","SolarOrbiter","PAS","Heliosphere.Inner","1279","1","1811.0","0.9819"
"2020-07-23T20:35:00","2020-07-23T21:20:00","0:45:00","SolarOrbiter","PAS","Heliosphere.Inner","1186","1","1680.0","0.9832"
"2020-07-23T20:35:00","2020-07-23T21:20:00","0:45:00","SolarOrbiter","PAS","Heliosphere.Inner","1279","1","1811.0","0.9819"
"2020-07-23T20:35:00","2020-07-23T21:20:00","0:45:00","SolarOrbiter","PAS","Heliosphere.Inner","1186","1","1680.0","0.9832"
"2020-07-23T20:45:00","2020-07-23T21:30:59","0:45:59","PSP","","Sun","257","1","2184.0","0.9782"
"2020-07-23T20:45:00","2020-07-23T21:30:59","0:45:59","PSP","","Sun","2753","1","23400.0","0.7664"
"2020-07-23T20:45:00","2020-07-23T21:30:59","0:45:59","PSP","","Sun","257","1","2184.0","0.9782"
"2020-07-23T20:45:00","2020-07-23T21:30:59","0:45:59","PSP","","Sun","2753","1","23400.0","0.7664"
"2020-07-23T16:00:00","2020-07-23T06:00:00","14:00:00","SolarOrbiter","PAS","Heliosphere.Inner","19","1","26.0","0.9997"
"2020-07-23T16:00:00","2020-07-24T06:00:59","14:00:59","SolarOrbiter","PAS","Heliosphere.Inner","19","1","26.0","0.9997"
"2020-07-23T20:14:00","2020-07-23T21:50:00","1:36:00","PSP","","Sun","11787","1","100189.0","0.0000"
"2020-07-23T20:14:00","2020-07-23T21:50:00","1:36:00","PSP","","Sun","11787","1","100189.0","0.0000"
"2020-05-30T00:00:00","2020-05-30T23:59:59","23:59:59","SolarOrbiter","EUI,EUI/HRI,SPICE","Heliosphere.Inner","10","1","13.0","0.9999"
"2021-02-23T00:00:00","2021-02-23T23:59:59","23:59:59","SolarOrbiter","EUI,EUI/HRI,SPICE","Heliosphere.Inner","1266","1","1688.0","0.9832"
"2020-02-10T00:00:00","2020-02-10T23:59:59","23:59:59","SolarOrbiter","PAS","Heliosphere.Inner","37","1","52.0","0.9995"
"2020-05-06T00:00:00","2020-05-06T23:59:59","23:59:59","SolarOrbiter","PAS","Heliosphere.Inner","130","1","184.0","0.9982"
"2020-06-15T00:00:00","2020-06-15T23:59:59","23:59:59","SolarOrbiter","PAS","Heliosphere.Inner","165","1","233.0","0.9977"
"2020-07-23T00:00:00","2020-07-23T23:59:59","23:59:59","SolarOrbiter","PAS","Heliosphere.Inner","1980","1","2805.0","0.9720"
"2020-07-23T00:00:00","2020-07-23T23:59:59","23:59:59","SolarOrbiter","PAS","Heliosphere.Inner","90","1","127.0","0.9987"
"2020-07-23T00:00:00","2020-07-23T23:59:59","23:59:59","SolarOrbiter","PAS","Heliosphere.Inner","9","1","12.0","0.9999"
